Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
		K-KBÖ		K-BBÖ		AH-PBÖ
1420		4,1E-2		5,5E+2		1,7E-1
1425		4,1E-2		5,5E+2		1,8E-1
1430		4,1E-2		5,5E+2		1,8E-1
1435		4,1E-2		5,5E+2		1,8E-1
1440		4,1E-2		5,5E+2		1,8E-1
1445		4,1E-2		5,5E+2		1,8E-1
1450		4,1E-2		5,5E+2		1,8E-1
1455		4,1E-2		5,5E+2		1,8E-1
1460		4,1E-2		5,5E+2		1,8E-1
1465		4,1E-2		5,5E+2		1,8E-1
1470		4,1E-2		5,5E+2		1,8E-1
1475		4,1E-2		5,5E+2		1,8E-1
1480		4,1E-2		5,5E+2		1,8E-1
1485		4,1E-2		5,5E+2		1,8E-1
1490		4,1E-2		5,5E+2		1,7E-1
1495		4,1E-2		5,5E+2		1,7E-1
1500		4,1E-2		5,5E+2		1,7E-1
1505		4,1E-2		5,5E+2		1,7E-1
1510		4,1E-2		5,5E+2		1,7E-1
1515		4,1E-2		5,5E+2		1,7E-1
1520		4,1E-2		5,5E+2		1,7E-1
1525		4,1E-2		5,5E+2		1,7E-1
1530		4,1E-2		5,5E+2		1,7E-1
1535		4,1E-2		5,5E+2		1,7E-1
1540		4,1E-2		5,5E+2		1,7E-1
1545		4,1E-2		5,5E+2		1,7E-1
1550		4,1E-2		5,5E+2		1,7E-1
1555		4,1E-2		5,5E+2		1,7E-1
1560		4,1E-2		5,5E+2		1,7E-1
1565		4,1E-2		5,5E+2		1,7E-1
1570		4,1E-2		5,5E+2		1,8E-1
1575		4,1E-2		5,5E+2		1,8E-1
1580		4,1E-2		5,5E+2		1,8E-1
1585		4,1E-2		5,5E+2		1,8E-1
1590		4,1E-2		5,5E+2		1,8E-1
1595		4,1E-2		5,5E+2		1,8E-1
1600		4,1E-2		5,5E+2		1,8E-1
1605		4,1E-2		5,5E+2		1,8E-1
1610		4,0E-2		5,5E+2		1,7E-1
1615		4,0E-2		5,5E+2		1,7E-1
1620		4,1E-2		5,5E+2		1,7E-1
1625		4,1E-2		5,5E+2		1,7E-1
1630		4,1E-2		5,5E+2		1,7E-1
1635		4,1E-2		5,5E+2		1,7E-1
1640		4,1E-2		5,5E+2		1,7E-1
1645		4,1E-2		5,5E+2		1,7E-1
1650		4,1E-2		5,5E+2		1,7E-1
1655		4,1E-2		5,5E+2		1,7E-1
1660		4,1E-2		5,5E+2		1,7E-1
1665		4,1E-2		5,5E+2		1,7E-1
1670		4,1E-2		5,5E+2		1,7E-1
1675		4,1E-2		5,5E+2		1,7E-1
1680		4,1E-2		5,5E+2		1,7E-1
1685		4,1E-2		5,5E+2		1,7E-1
1690		4,1E-2		5,5E+2		1,7E-1
1695		4,1E-2		5,5E+2		1,7E-1
1700		4,1E-2		5,5E+2		1,7E-1
1705		4,1E-2		5,5E+2		1,7E-1
1710		4,1E-2		5,5E+2		1,7E-1
1715		4,1E-2		5,5E+2		1,7E-1
1720		4,1E-2		5,5E+2		1,7E-1
1725		4,1E-2		5,5E+2		1,7E-1
1730		4,0E-2		5,5E+2		1,7E-1
1735		4,0E-2		5,5E+2		1,7E-1
1740		4,1E-2		5,5E+2		1,7E-1
1745		4,1E-2		5,5E+2		1,7E-1
1750		4,1E-2		5,5E+2		1,7E-1
1755		4,1E-2		5,5E+2		1,7E-1
1760		4,1E-2		5,5E+2		1,7E-1
1765		4,1E-2		5,5E+2		1,7E-1
1770		4,0E-2		5,5E+2		1,7E-1
1775		4,0E-2		5,5E+2		1,7E-1
1780		4,0E-2		5,5E+2		1,7E-1
1785		4,1E-2		5,5E+2		1,7E-1
1790		4,0E-2		5,5E+2		1,7E-1
1795		4,1E-2		5,5E+2		1,7E-1
1800		4,1E-2		5,5E+2		1,7E-1
1805		4,1E-2		5,5E+2		1,7E-1
1810		4,1E-2		5,5E+2		1,7E-1
1815		4,1E-2		5,5E+2		1,7E-1
1820		4,1E-2		5,5E+2		1,7E-1
1825		4,1E-2		5,5E+2		1,7E-1
1830		4,1E-2		5,5E+2		1,7E-1
1835		4,1E-2		5,5E+2		1,7E-1
1840		4,1E-2		5,5E+2		1,7E-1
1845		4,1E-2		5,5E+2		1,7E-1
1850		4,1E-2		5,5E+2		1,7E-1
1855		4,1E-2		5,5E+2		1,7E-1
1860		4,1E-2		5,5E+2		1,7E-1
1865		4,1E-2		5,5E+2		1,7E-1
