Süre	1. Bölge	2. Bölge	3. Bölge	Isýnma	Soðutma 
(Sn)	(ºC)		(ºC)		(ºC)		(ºC)	(ºC)
       	Mavi		Kýrmýzý		Yeþil		Turuncu	Sarý
515	30		28		29		37	17
516	31		28		29		37	17
517	31		28		29		37	17
518	31		28		29		37	17
519	31		28		29		37	17
520	31		28		29		37	17
521	31		28		29		38	17
522	31		28		30		38	17
523	31		29		30		38	17
524	31		29		30		38	17
525	31		29		30		38	17
526	31		29		30		38	17
527	31		29		30		38	17
528	31		29		30		38	17
529	31		29		30		38	18
530	31		29		30		38	18
531	32		29		30		39	18
532	32		29		30		39	18
533	32		29		30		39	18
534	32		29		30		39	18
535	32		29		30		39	18
536	32		29		30		39	18
537	32		29		30		39	18
538	32		29		30		39	18
539	32		29		30		39	18
540	32		29		30		39	18
541	32		29		30		40	18
542	32		29		31		40	18
543	32		29		31		40	18
544	32		29		31		40	18
545	32		29		31		40	18
546	32		29		31		40	18
547	32		29		31		40	18
548	32		29		31		40	18
549	32		29		31		40	18
550	32		29		31		40	18
551	32		29		31		40	18
552	32		29		31		41	18
553	33		29		31		41	18
554	33		29		31		41	18
555	33		29		31		41	18
556	33		29		31		41	18
557	33		29		31		41	18
558	33		29		31		41	18
559	33		29		31		41	18
560	33		29		31		41	18
561	33		30		31		41	18
562	33		30		31		41	18
563	33		30		31		42	18
564	33		30		31		42	18
565	33		30		32		42	18
566	33		30		32		42	18
567	33		30		32		42	18
568	33		30		32		42	18
569	33		30		32		42	18
570	33		30		32		42	18
571	34		30		32		42	18
572	34		30		32		42	18
573	34		30		32		43	18
574	34		30		32		43	18
575	34		30		32		43	18
576	34		30		32		43	18
577	34		30		32		43	18
578	34		30		32		43	18
579	34		30		32		43	18
580	34		30		32		43	18
581	34		30		32		43	18
582	34		30		32		43	18
583	34		30		32		43	18
584	34		30		32		43	18
585	34		30		33		43	18
586	35		30		33		44	18
587	35		30		33		44	18
588	35		30		33		44	18
589	35		30		33		44	18
590	35		30		33		44	18
591	35		30		33		44	18
592	35		30		33		44	18
593	35		30		33		44	18
594	35		31		33		44	18
595	35		31		33		44	18
596	35		31		33		45	18
597	35		31		33		45	18
598	35		31		33		45	18
599	35		31		33		45	18
600	36		31		33		45	18
601	36		31		33		45	18
602	36		31		33		45	18
603	36		31		33		45	18
604	36		31		33		45	18
605	36		31		33		45	18
606	36		31		33		45	18
607	36		31		33		46	18
608	36		31		33		46	18
609	36		31		33		46	18
610	36		31		34		46	18
611	36		31		34		46	18
612	36		31		34		46	18
613	36		31		34		46	19
614	36		31		34		46	19
615	36		31		34		46	19
616	36		31		34		47	19
617	36		31		34		47	19
618	36		31		34		47	19
619	36		31		34		47	19
620	37		32		34		47	19
621	37		32		34		47	19
622	37		32		34		47	19
623	37		32		34		47	19
624	37		32		34		47	19
